Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg
03/08/2021,24.6,32.8,27.4,81,12.1,9.5,4,330,2
04/08/2021,24.2,34,28.7,69,,7.1,5,100,2
05/08/2021,24.6,34,29,65,0,9.2,6,100,3
06/08/2021,25.6,33.6,29.4,60,0,10.7,6,140,4
07/08/2021,26.3,33.2,29.5,66,0,10.7,6,120,4
08/08/2021,26.4,33.6,29.5,68,,9.5,7,330,3
09/08/2021,27,34.4,29.4,72,0,10,7,120,4
10/08/2021,25.5,34.6,29.1,68,0,10,5,130,2
11/08/2021,24.8,34.4,28.6,60,0,9.4,6,140,2
12/08/2021,23.8,32.8,27.9,68,0,10.9,12,340,2
13/08/2021,24.2,32.5,28.3,71,0,8.1,7,130,3
14/08/2021,23.4,33.7,27.9,77,21.5,8.3,6,90,2
15/08/2021,23.7,34,29.1,66,4,9,8,100,3
16/08/2021,23.6,34.8,28.3,74,0,10.6,5,140,2
17/08/2021,25.3,34.4,29.7,58,0.8,9.9,6,330,2
18/08/2021,25,33,27.9,71,0,10.7,6,40,2
19/08/2021,24.8,32.1,27.5,77,0,8.7,4,60,1
20/08/2021,,34,28.1,62,16.1,4.7,5,100,2
21/08/2021,24.2,32.4,28.3,70,,7.8,6,340,2
22/08/2021,23.6,32,27.4,77,0.5,6.2,4,330,2
23/08/2021,24.2,34.8,28.6,71,0,9.6,5,90,2
24/08/2021,24.2,34.2,28.9,62,0,10.3,5,100,1
25/08/2021,23,34.3,28.1,66,0,10,7,110,2
26/08/2021,23.2,34.4,27.9,68,,8.7,6,70,2
27/08/2021,23.3,33.9,28.2,64,0,10.2,5,310,2
28/08/2021,23.4,34.4,28.9,64,,10.1,5,110,2
29/08/2021,25.4,35.2,30.1,65,115,10.2,7,100,2
30/08/2021,25.6,34.2,29.1,70,,9.8,5,90,2
31/08/2021,24.6,34.8,29.5,67,0.8,6.7,6,100,3
01/09/2021,24.4,33.8,28.8,70,,8.1,5,350,2
02/09/2021,24.9,35.3,29.6,56,,10.4,6,130,2
03/09/2021,24.6,33.8,28.6,66,0,8.8,4,340,1
04/09/2021,23.6,33.4,28.8,64,0,8.4,6,300,2
05/09/2021,,32.4,28.4,68,0,9.5,5,300,2
06/09/2021,25.6,33.8,29.1,68,0,0.8,7,30,3
07/09/2021,25.3,34,29.5,68,,9.2,7,20,3
08/09/2021,23.6,35.2,28.5,75,11.5,10,4,120,1
09/09/2021,23,33.6,27.9,64,5.1,8.3,5,350,2
10/09/2021,24.2,33.6,29.1,62,0,10,6,2,2
11/09/2021,25.8,31.6,27.6,76,0,9.1,5,90,3
12/09/2021,25.2,33.4,28.4,74,4.5,3.2,6,120,2
13/09/2021,25.8,33,29.8,65,,5.8,7,140,3
14/09/2021,26,32.2,27.5,79,,8,6,330,3
15/09/2021,23.6,34.2,28.2,74,14.1,2.7,6,350,2
16/09/2021,24.8,32.6,28.3,74,0,10.2,6,320,2
17/09/2021,23.7,35.2,28.6,72,8.9,10.5,7,130,3
18/09/2021,24.5,35.6,29.7,62,0,10,7,100,2
19/09/2021,24.5,35.1,29.4,64,0,10.9,6,100,2
20/09/2021,24.3,33.7,28.8,68,,9.8,5,320,2
21/09/2021,24,35,27.7,76,17,10.7,5,10,2
22/09/2021,24,33.4,28.6,67,5,6,7,90,3
23/09/2021,25,34.4,30.2,59,1,6.5,8,120,3
24/09/2021,25.2,34.2,29.1,66,,8.4,6,100,3
25/09/2021,25.4,34.7,29.2,70,,8.5,6,20,3
26/09/2021,24.7,33,27.4,81,57.4,10,5,110,3
27/09/2021,24.6,33.2,28.4,76,13.4,5.6,6,330,3
28/09/2021,24.8,33.8,28.8,77,31.5,8,5,320,2
29/09/2021,24.1,35.2,29.3,65,0,9,6,310,3
30/09/2021,25.5,35.6,29.9,66,0,10.5,8,120,3
01/10/2021,24.3,34,29.5,67,0,11.3,6,330,2
02/10/2021,25.2,33,29.2,70,,7.4,6,300,3
03/10/2021,24.6,33.2,29,66,,7,5,310,2
04/10/2021,25.6,33.1,28.6,68,0,9.5,7,310,2
05/10/2021,24.6,33,28.8,70,,6.2,6,300,2
06/10/2021,24.6,33.2,28.8,64,0,8.9,6,310,2
07/10/2021,24.4,33.7,28.3,68,0,7.4,5,320,2
08/10/2021,24.8,33.6,28.5,69,,8.7,7,330,2
09/10/2021,24.8,33.2,28.8,71,1.6,10.2,5,340,2
10/10/2021,25.2,35.2,29.8,67,0,10.8,6,350,2
11/10/2021,26,34.2,29.7,68,0,10.6,7,330,2
12/10/2021,24.5,36,30,62,0,9.2,8,150,3
13/10/2021,24.6,34.4,29.9,66,0,11.2,6,330,3
14/10/2021,25.5,35.1,30,60,,10.4,6,340,2
15/10/2021,25.6,35.4,29.7,70,0,6.1,6,20,2
16/10/2021,27.1,35,30.6,66,0,8.2,6,320,2
17/10/2021,26,36.4,29.6,74,3.4,6.5,6,340,3
18/10/2021,25,33.4,27.5,83,6.5,9.8,7,120,3
19/10/2021,25,32.3,28.2,80,1.8,4,6,320,2
20/10/2021,25.6,33.4,29.9,71,0.2,5.2,7,330,3
21/10/2021,25.2,33,29.4,75,10.5,9.5,7,300,3
22/10/2021,23.2,33.2,27.5,79,14.5,10.5,6,350,2
23/10/2021,25.2,34.6,29.1,74,7.5,9.8,6,330,2
24/10/2021,25.5,32.4,29.1,78,15.5,6.9,6,340,3
25/10/2021,26,33.4,29.9,74,0,10,6,330,2
26/10/2021,23,34.8,29.1,72,47.5,11,6,20,2
27/10/2021,25.4,34,29.4,74,1.4,9.1,6,130,3
28/10/2021,26.2,33.8,30,69,1,8,6,10,3
29/10/2021,26.4,32.6,28.3,81,2.2,8.2,5,340,2
30/10/2021,25.6,31.8,28.2,77,3,5.4,5,340,2
31/10/2021,26,33.2,28.7,77,11.4,5.7,6,20,3
01/11/2021,24.4,32.6,28.4,80,33.8,7,6,30,2
02/11/2021,25.2,32.2,27.6,80,5.5,5.8,4,10,2
03/11/2021,24.6,32.4,28.8,77,3,4,6,320,3
04/11/2021,26,32.8,28,80,0,10.5,6,340,2
05/11/2021,23.5,32,27.8,80,106,8.4,4,20,2
06/11/2021,24.6,32.9,29.9,70,0,5.7,5,50,2
07/11/2021,24.6,32.8,29.5,78,1.8,8.2,5,330,2
08/11/2021,25.4,32.2,28.6,78,1.5,8.7,4,30,2
09/11/2021,25.8,32.6,29,76,0,5,5,350,2
10/11/2021,25.2,31.6,27.4,85,6.5,4.2,4,350,2
11/11/2021,24.8,31.2,27.9,81,39.5,5.6,6,320,2
12/11/2021,25,30.5,26.8,83,0.2,1.4,6,200,2
13/11/2021,24,31.9,27.7,79,30.2,0.6,5,340,2
14/11/2021,24.4,30.8,27.3,82,26.9,7.4,4,30,2
15/11/2021,25.4,29.2,25.5,90,,3.3,7,290,2
